Cluster Assignment
8
17
95
2
18
133
9
50
114
168
51
24
166
160
15
101
14
51
1
182
22
28
167
168
36
77
181
161
114
101
101
164
1
83
41
50
170
51
126
164
99
187
188
95
99
167
174
51
51
168
36
168
49
47
109
198
31
198
174
99
99
182
106
182
109
56
140
56
95
36
95
161
5
160
101
109
24
50
56
12
182
114
167
9
168
181
160
181
181
174
83
6
188
182
28
106
198
15
198
3
187
101
168
164
5
182
7
36
101
170
41
26
99
24
3
188
14
10
20
181
19
56
170
101
2
160
170
137
174
49
181
28
10
41
1
18
168
99
2
10
114
2
51
49
3
136
56
6
164
36
126
126
19
31
50
166
41
114
24
8
51
109
164
41
181
187
41
198
16
77
50
47
17
198
168
31
181
101
198
109
4
1
160
51
137
7
109
168
50
2
161
10
114
174
50
182
187
198
36
17
77
14
167
106
3
16
99
36
166
7
182
168
137
2
140
17
77
140
106
41
77
83
198
50
17
17
95
83
188
83
41
19
3
77
8
47
99
2
101
136
140
99
47
32
140
31
24
140
182
106
99
188
170
12
31
198
114
126
181
137
170
188
20
36
1
77
7
14
51
187
133
83
168
137
1
106
187
140
51
17
14
140
27
17
47
77
108
31
160
187
50
101
187
136
181
17
164
174
83
11
167
164
50
101
7
136
51
181
51
49
83
164
2
114
1
41
6
14
36
21
133
182
24
114
198
182
109
36
198
174
167
182
106
36
77
182
83
133
101
50
161
95
198
114
174
126
11
170
108
168
106
99
136
31
8
108
106
99
126
182
126
2
170
108
198
174
51
109
168
140
168
168
22
187
109
34
29
108
109
47
14
99
47
77
28
170
18
109
106
140
101
136
187
101
77
36
198
22
168
2
101
140
18
9
77
182
14
11
17
95
198
168
188
8
182
83
3
99
36
83
51
170
108
101
101
32
7
2
9
14
24
77
140
182
20
167
99
19
182
167
16
24
50
181
126
101
17
99
106
114
31
8
181
167
1
167
2
198
114
4
164
2
14
126
32
47
11
22
164
170
24
99
187
1
161
187
168
47
160
137
187
164
3
15
167
166
31
1
22
114
114
15
136
12
106
12
164
95
16
133
133
188
9
170
182
182
106
12
137
1
2
31
168
11
187
140
133
28
4
8
164
99
174
187
16
83
8
108
187
181
126
24
198
126
101
83
2
136
19
50
182
4
126
174
160
181
133
83
106
182
168
17
106
140
99
168
50
47
1
187
187
2
1
136
3
31
182
95
168
136
10
49
136
7
41
95
174
6
3
168
99
140
99
161
140
31
95
99
3
20
50
95
2
28
36
198
137
10
140
7
22
99
101
95
56
140
187
51
174
167
49
31
18
47
174
77
187
56
108
95
137
10
10
161
36
83
95
188
182
17
20
161
50
77
166
161
188
51
106
166
161
167
161
41
181
198
114
133
16
47
47
31
50
56
50
24
170
24
170
187
36
51
109
31
99
6
56
77
136
41
9
31
28
108
164
166
136
133
181
133
95
101
136
36
36
18
2
160
31
28
166
187
106
47
188
140
140
174
187
41
187
3
31
83
181
140
24
83
99
182
181
51
51
140
106
160
22
182
49
34
133
32
188
14
168
137
14
36
47
41
