epoch,nmi,average_loss
1,,8.186355908711752
2,0.726816334226836,7.640987237294515
3,0.7546057853771433,6.923211415608724
4,0.767137399758913,6.621207396189372
5,0.7727583550978898,6.207217216491699
6,0.7660769478698802,5.305726210276286
7,0.7563407618314295,5.376485983530681
8,0.748955242440834,5.550101280212402
9,0.7483045629726492,5.64789358774821
10,0.7518201759630577,5.18228006362915
11,0.7643329992635847,5.161885102589925
12,0.790670376381095,5.08776871363322
13,0.7922655455027785,4.997371832529704
14,0.7897304731134578,4.848140239715576
15,0.7852254255137432,5.004904747009277
16,0.7751477585977941,4.817225297292073
17,0.7892025169732391,5.030850887298584
18,0.797044737915006,4.707736333211263
19,0.79017493363468,5.076285521189372
20,0.7926232568829995,4.998599529266357
